STN,DATE,TIME,COUNTRY,TEMP,DEWP,STP,SLP,VISIB,WDSP,PRCP,SNDP,FRSHTT,CLDC,WNDDIR
478290,2021-02-19,13:09:37,JAPAN,-0.6,-7.2,1001.2,1019.1,20.0,13.6,0.07,0.0,110000,50.4,225
541150,2021-02-19,13:09:37,CHINA,-7.1,-17.2,976.0,1026.3,21.0,22.9,0.01,0.0,110000,80.7,241
534800,2021-02-19,13:09:37,CHINA,-9.0,-20.4,960.6,1029.9,30.7,7.1,0.01,0.0,110000,78.3,341
584370,2021-02-19,13:09:37,CHINA,-3.0,-10.2,835.7,833.6,16.4,33.0,0.14,0.0,110000,76.6,47
476200,2021-02-19,13:09:37,JAPAN,-3.7,-9.4,927.5,1018.3,28.4,13.3,0.14,0.0,110000,52.4,95
560330,2021-02-19,13:09:37,CHINA,-12.5,-22.5,626.2,621.8,34.6,5.4,0.03,0.0,110000,79.0,196
477150,2021-02-19,13:09:37,JAPAN,-0.7,-6.7,1001.8,1001.9,8.4,4.3,0.14,0.3,111000,50.1,202
546620,2021-02-19,13:09:37,CHINA,-2.5,-10.9,1020.6,1025.3,3.9,12.3,0.05,0.0,110000,70.8,90
471131,2021-02-19,13:09:37,KOREASOUTH,-1.4,-5.8,991.0,997.5,7.4,6.9,0.00,0.0,100000,44.1,127
531490,2021-02-19,13:09:37,CHINA,-6.4,-17.5,905.7,1027.7,31.1,15.8,0.02,0.0,110000,51.9,16
526810,2021-02-19,13:09:37,CHINA,-4.4,-16.7,896.9,1030.3,28.5,9.5,0.00,0.0,100000,92.1,308
380620,2021-02-19,13:09:37,KAZAKHSTAN,-1.8,-6.2,1022.1,1025.7,20.8,3.9,0.01,0.3,111000,90.1,139
545270,2021-02-19,13:09:37,CHINA,-1.2,-12.1,1030.8,1025.7,17.0,0.9,0.11,0.0,110000,52.9,192
518860,2021-02-19,13:09:37,CHINA,-3.7,-22.5,701.4,698.4,26.7,15.7,0.00,0.0,100000,93.6,161
470390,2021-02-19,13:09:37,KOREANORTH,-3.6,-9.4,1042.4,1024.8,12.6,1.1,0.00,0.0,100000,52.7,72
471610,2021-02-19,13:09:37,KOREASOUTH,-1.2,-8.5,1001.1,1001.4,5.7,11.5,0.05,0.0,110000,93.5,339
514310,2021-02-19,13:09:37,CHINA,-0.5,-4.1,975.4,1028.3,29.2,3.3,0.12,0.0,110000,53.3,245
353940,2021-02-19,13:09:37,KAZAKHSTAN,-4.5,-7.9,1002.1,1031.7,24.3,12.2,0.20,3.9,111000,53.9,49
471310,2021-02-19,13:09:37,KOREASOUTH,-1.9,-8.0,1020.5,1024.0,21.7,15.3,0.04,0.0,110000,52.2,252
471430,2021-02-19,13:09:37,KOREASOUTH,-1.0,-10.7,1015.6,1022.9,24.1,18.6,0.06,0.0,110000,50.0,14
443410,2021-02-19,13:09:37,MONGOLIA,-6.7,-15.3,855.9,1021.3,44.3,8.8,0.00,0.5,101000,52.5,306
286790,2021-02-19,13:09:37,KAZAKHSTAN,-8.4,-12.1,1019.0,1029.6,13.3,18.1,0.01,4.7,111000,75.3,117
367780,2021-02-19,13:09:37,KAZAKHSTAN,-4.5,-10.2,1047.4,1031.8,26.3,6.4,0.00,0.0,100000,91.0,85
172400,2021-02-19,13:09:37,TURKEY,-0.9,-5.8,951.9,1016.0,28.7,6.8,0.09,0.5,111000,56.4,59
532310,2021-02-19,13:09:37,CHINA,-3.8,-16.0,850.9,857.8,29.1,18.0,0.00,0.0,100000,46.4,0
560180,2021-02-19,13:09:37,CHINA,-3.3,-15.6,627.1,635.7,24.4,16.4,0.01,0.0,110000,88.0,57
560340,2021-02-19,13:09:37,CHINA,-10.4,-17.5,600.9,593.5,20.9,17.3,0.05,0.0,110000,54.3,311
528180,2021-02-19,13:09:37,CHINA,-2.8,-21.0,753.9,753.2,28.0,11.7,0.00,0.0,100000,69.3,7
470200,2021-02-19,13:09:37,KOREANORTH,-6.8,-12.3,1015.1,1029.1,0.1,1.6,0.00,0.0,100000,57.0,236
548260,2021-02-19,13:09:37,CHINA,-3.0,-12.3,870.9,873.0,24.9,25.1,0.03,0.0,110000,66.8,328
543770,2021-02-19,13:09:37,CHINA,-4.1,-11.7,1025.7,1025.3,11.3,5.1,0.03,0.0,110000,51.0,34
380910,2021-02-19,13:09:37,KAZAKHSTAN,-2.1,-5.7,1027.0,1030.1,43.6,10.5,0.02,1.2,111000,50.8,134
537640,2021-02-19,13:09:37,CHINA,-5.4,-15.5,972.4,1028.6,19.1,2.7,0.02,0.0,110000,57.1,57
527070,2021-02-19,13:09:37,CHINA,-5.9,-23.0,724.8,721.2,10.7,7.7,0.00,0.0,100000,61.7,328
470030,2021-02-19,13:09:37,KOREANORTH,-6.0,-13.2,1015.9,1019.4,19.8,9.1,0.01,0.0,110000,51.5,74
507560,2021-02-19,13:09:37,CHINA,-7.7,-12.5,1009.2,1022.7,16.6,9.9,0.01,0.0,110000,50.9,6
529570,2021-02-19,13:09:37,CHINA,-4.4,-17.8,723.6,718.0,24.2,15.7,0.03,0.0,110000,90.0,61
400010,2021-02-19,13:09:37,SYRIA,-0.7,-4.8,1036.8,1012.9,15.6,4.2,0.00,0.0,100000,80.6,318
170960,2021-02-19,13:09:37,TURKEY,-2.8,-6.9,891.0,905.2,16.9,16.0,0.08,8.8,111000,51.8,39
407310,2021-02-19,13:09:37,IRAN,-0.3,-2.3,875.3,1024.1,2.8,6.2,0.00,0.0,100000,23.2,136
287660,2021-02-19,13:09:37,KAZAKHSTAN,-5.3,-9.5,1011.8,1027.6,7.0,14.5,0.01,3.5,111000,55.0,314
557730,2021-02-19,13:09:37,CHINA,-1.2,-9.1,620.3,621.9,18.4,16.0,0.03,0.0,110000,60.1,353
503530,2021-02-19,13:09:37,CHINA,-8.3,-17.9,1000.0,1022.8,20.6,7.6,0.00,0.0,100000,39.8,99
526020,2021-02-19,13:09:37,CHINA,-3.8,-19.7,726.2,725.7,23.2,3.8,0.01,0.0,110000,62.1,32
361770,2021-02-19,13:09:37,KAZAKHSTAN,-11.0,-14.5,1023.5,1025.1,9.9,16.1,0.01,0.0,110000,51.2,216
471140,2021-02-19,13:09:37,KOREASOUTH,-2.3,-9.1,1004.7,1023.3,14.2,0.7,0.06,0.4,111000,81.0,152
507880,2021-02-19,13:09:37,CHINA,-10.0,-15.7,1019.0,1019.4,22.8,12.8,0.02,0.0,110000,50.2,229
523130,2021-02-19,13:09:37,CHINA,-2.9,-14.3,921.4,897.5,61.8,2.5,0.00,0.0,100000,74.6,89
564440,2021-02-19,13:09:37,CHINA,-0.5,-5.8,734.9,734.6,27.6,9.2,0.07,0.0,110000,52.0,303
477690,2021-02-19,13:09:37,JAPAN,-0.7,-7.7,1019.9,1025.3,0.1,19.7,0.00,0.0,100000,39.2,263
171880,2021-02-19,13:09:37,TURKEY,-0.1,-3.6,937.6,1016.4,22.4,2.6,0.17,0.3,111000,54.3,187
537720,2021-02-19,13:09:37,CHINA,-2.4,-13.6,982.7,1025.6,6.5,3.1,0.01,0.0,110000,53.5,58
171890,2021-02-19,13:09:37,TURKEY,-6.4,-10.7,905.4,920.7,10.9,6.4,0.02,8.2,111000,54.4,157
477670,2021-02-19,13:09:37,JAPAN,-0.6,-5.2,1018.5,1017.7,16.5,7.8,0.14,0.0,110000,61.4,149
356330,2021-02-19,13:09:37,KAZAKHSTAN,-2.5,-6.2,1027.6,1021.5,24.4,24.6,0.00,3.3,101000,63.8,241
470312,2021-02-19,13:09:37,CHINA,-1.9,-16.4,994.8,979.8,1.7,7.7,0.00,0.0,100000,46.4,117
547760,2021-02-19,13:09:37,CHINA,-0.6,-6.9,1021.1,1025.6,18.8,8.0,0.04,0.0,110000,64.5,341
350850,2021-02-19,13:09:37,KAZAKHSTAN,-9.0,-14.2,1025.9,1032.5,30.0,19.7,0.00,1.4,101000,51.4,103
544970,2021-02-19,13:09:37,CHINA,-3.7,-12.2,1024.6,1024.2,20.1,15.5,0.01,0.0,110000,94.0,279
352170,2021-02-19,13:09:37,KAZAKHSTAN,-3.2,-5.8,1023.3,1022.0,16.8,21.4,0.01,4.8,111000,88.8,350
475450,2021-02-19,13:09:37,JAPAN,-1.8,-5.6,1001.9,1006.8,10.3,13.7,0.00,0.0,100000,93.2,131
552280,2021-02-19,13:09:37,CHINA,-1.7,-17.4,603.4,600.0,30.5,0.0,0.01,0.0,110000,85.7,116
354060,2021-02-19,13:09:37,KAZAKHSTAN,-3.5,-7.0,1027.9,1028.4,27.0,18.3,0.00,0.0,100000,85.9,119
470410,2021-02-19,13:09:37,KOREANORTH,-3.2,-11.0,1009.5,1020.6,15.9,12.0,0.02,0.0,110000,52.6,223
528360,2021-02-19,13:09:37,CHINA,-3.1,-19.3,687.3,685.9,28.8,5.8,0.01,0.0,110000,54.8,281
474050,2021-02-19,13:09:37,JAPAN,-9.7,-14.6,1009.6,1018.1,43.5,18.7,0.00,0.0,100000,85.2,27
538980,2021-02-19,13:09:37,CHINA,-1.0,-9.8,1023.8,1026.8,16.1,8.9,0.02,0.0,110000,52.2,95
