STN,DATE,TIME,COUNTRY,TEMP,DEWP,STP,SLP,VISIB,WDSP,PRCP,SNDP,FRSHTT,CLDC,WNDDIR
474900,2021-02-19,13:09:00,JAPAN,-10.7,-16.2,995.3,999.6,11.4,7.1,0.00,0.0,100000,76.4,217
474890,2021-02-19,13:09:00,JAPAN,-7.8,-13.6,999.9,997.7,3.6,5.1,0.00,0.0,100000,31.2,14
505480,2021-02-19,13:09:00,CHINA,-16.5,-21.0,1007.8,1010.0,24.8,7.5,0.00,0.0,100000,36.0,280
474020,2021-02-19,13:09:00,JAPAN,-10.4,-14.8,1011.7,1018.5,22.3,15.9,0.05,0.0,110000,55.3,211
474010,2021-02-19,13:09:00,JAPAN,-7.7,-12.8,1011.6,1015.7,15.6,15.9,0.08,15.3,111000,87.3,144
170860,2021-02-19,13:09:00,TURKEY,-0.3,-5.9,944.7,1018.8,18.9,11.2,0.35,4.1,111000,51.8,57
170820,2021-02-19,13:09:00,TURKEY,-1.3,-5.6,1003.4,1013.1,8.6,15.9,0.05,0.5,111000,50.0,348
471920,2021-02-19,13:09:00,KOREASOUTH,-1.2,-8.7,1021.4,1022.4,10.2,10.1,0.10,0.0,110000,87.5,300
540260,2021-02-19,13:09:00,CHINA,-4.6,-17.7,1011.7,1024.1,25.2,24.1,0.01,0.0,110000,89.0,205
360030,2021-02-19,13:09:00,KAZAKHSTAN,-10.3,-14.1,1021.1,1030.3,28.7,18.7,0.11,4.8,111000,75.5,178
509830,2021-02-19,13:09:00,CHINA,-8.7,-13.3,1016.6,1020.9,17.1,2.5,0.02,0.0,110000,99.3,281
443850,2021-02-19,13:09:00,MONGOLIA,-2.5,-15.4,893.7,1026.0,33.7,9.6,0.00,0.0,100000,76.8,248
538450,2021-02-19,13:09:00,CHINA,-1.7,-13.5,934.3,1029.4,14.9,10.6,0.01,0.0,110000,77.3,240
289520,2021-02-19,13:09:00,KAZAKHSTAN,-7.1,-12.2,1045.3,1033.8,10.1,22.8,0.62,0.0,110000,50.8,171
477090,2021-02-19,13:09:00,JAPAN,-0.8,-8.4,1002.2,1005.1,8.7,8.3,0.00,0.0,100000,9.5,18
563850,2021-02-19,13:09:00,CHINA,-4.9,-7.4,747.1,745.5,7.6,1.1,0.06,0.0,110000,50.1,64
505570,2021-02-19,13:09:00,CHINA,-14.9,-19.0,1003.3,1022.7,11.1,12.5,0.01,0.0,110000,57.5,319
289780,2021-02-19,13:09:00,KAZAKHSTAN,-8.8,-11.3,969.2,1020.3,11.3,4.9,0.00,0.0,100000,66.2,247
546560,2021-02-19,13:09:00,CHINA,-2.1,-7.7,1021.7,1024.8,25.6,30.7,0.01,0.0,110000,53.0,249
528660,2021-02-19,13:09:00,CHINA,-4.3,-14.5,772.4,766.9,11.3,6.2,0.01,0.0,110000,69.7,141
543770,2021-02-19,13:09:00,CHINA,-4.7,-11.7,1025.4,1025.3,11.2,5.0,0.03,0.0,110000,51.5,34
380910,2021-02-19,13:09:00,KAZAKHSTAN,-1.6,-6.8,1026.6,1030.1,43.8,10.0,0.02,1.2,111000,50.8,133
542920,2021-02-19,13:09:00,CHINA,-8.7,-20.2,1005.8,1025.1,16.5,7.2,0.00,0.0,100000,55.1,235
527370,2021-02-19,13:09:00,CHINA,-2.3,-17.5,725.4,729.1,24.3,22.4,0.01,0.0,110000,76.6,338
476400,2021-02-19,13:09:00,JAPAN,-8.6,-12.2,915.8,906.0,50.2,0.7,0.00,0.0,100000,32.2,165
353020,2021-02-19,13:09:00,KAZAKHSTAN,-0.9,-9.3,1058.1,1032.9,15.0,22.0,0.00,0.0,100000,41.2,165
513460,2021-02-19,13:09:00,CHINA,-8.3,-10.3,1053.3,1041.0,48.1,3.4,0.00,0.0,100000,33.3,324
172100,2021-02-19,13:09:00,TURKEY,-0.3,-6.2,915.8,1023.3,24.0,1.8,0.00,0.0,100000,23.8,288
504680,2021-02-19,13:09:00,CHINA,-14.1,-20.1,1013.4,1021.6,20.4,13.0,0.01,0.0,110000,51.0,272
474240,2021-02-19,13:09:00,JAPAN,-7.4,-11.6,1017.9,1017.0,22.7,8.5,0.00,0.0,100000,2.4,310
474250,2021-02-19,13:09:00,JAPAN,-9.8,-14.8,1000.6,1001.2,3.2,4.8,0.00,0.0,100000,96.9,301
474260,2021-02-19,13:09:00,JAPAN,-5.6,-11.4,1013.1,1015.4,28.1,24.0,0.03,1.4,111000,97.2,84
563570,2021-02-19,13:09:00,CHINA,-1.3,-16.9,644.9,645.2,31.7,15.0,0.01,0.0,110000,51.6,213
442120,2021-02-19,13:09:00,MONGOLIA,-22.4,-26.2,912.3,1037.5,55.4,4.7,0.00,9.9,101000,73.6,214
544050,2021-02-19,13:09:00,CHINA,-4.5,-18.0,1022.5,1027.2,16.9,16.8,0.01,0.0,110000,54.2,191
442140,2021-02-19,13:09:00,MONGOLIA,-9.9,-18.4,825.1,1027.2,11.0,4.7,0.00,0.0,100000,91.4,2
377090,2021-02-19,13:09:00,ARMENIA,-2.3,-4.9,982.4,984.3,20.2,16.3,0.02,9.2,111000,51.4,87
170500,2021-02-19,13:09:00,TURKEY,-0.1,-4.7,1014.0,1020.1,17.1,10.2,0.04,0.5,111000,93.6,69
443040,2021-02-19,13:09:00,MONGOLIA,-12.1,-16.4,1022.3,1032.4,46.9,6.4,0.00,1.1,101000,76.2,300
512430,2021-02-19,13:09:00,CHINA,-5.9,-10.1,1008.0,1034.0,14.5,2.6,0.00,0.0,100000,70.3,353
477470,2021-02-19,13:09:00,JAPAN,-0.9,-4.7,1024.3,1024.0,10.8,4.6,0.00,0.0,100000,83.2,315
543860,2021-02-19,13:09:00,CHINA,-4.5,-12.0,964.5,1025.9,20.6,6.8,0.04,0.0,110000,54.2,185
363350,2021-02-19,13:09:00,KAZAKHSTAN,-6.5,-11.1,1024.2,1031.4,47.0,19.6,0.00,0.3,101000,51.7,209
470690,2021-02-19,13:09:00,KOREANORTH,-2.1,-8.7,1031.0,1023.8,9.7,9.5,0.22,0.0,110000,51.3,326
470700,2021-02-19,13:09:00,KOREANORTH,-1.3,-6.7,1027.1,1021.2,12.2,15.2,0.01,0.0,110000,80.8,127
554720,2021-02-19,13:09:00,CHINA,-3.8,-20.3,997.9,992.8,23.2,43.9,0.01,0.0,110000,52.3,21
570710,2021-02-19,13:09:00,CHINA,-0.3,-8.8,1029.4,1025.8,19.5,10.5,0.03,0.0,110000,50.4,305
356990,2021-02-19,13:09:00,KAZAKHSTAN,-4.3,-10.7,951.9,1030.1,27.1,0.2,0.00,3.9,101000,50.6,316
442820,2021-02-19,13:09:00,MONGOLIA,-12.0,-27.3,818.8,1026.1,50.0,24.8,0.00,0.0,100000,34.2,152
443540,2021-02-19,13:09:00,MONGOLIA,-6.4,-13.4,1043.4,1029.4,56.0,24.3,0.00,0.0,100000,48.9,339
475910,2021-02-19,13:09:00,JAPAN,-1.4,-6.4,1005.3,1004.1,17.8,13.1,0.08,0.5,111000,52.6,68
359530,2021-02-19,13:09:00,KAZAKHSTAN,-3.0,-6.3,1014.0,1028.1,24.6,19.6,0.00,3.7,101000,87.3,205
470390,2021-02-19,13:09:00,KOREANORTH,-3.7,-9.4,1042.5,1024.8,12.8,1.0,0.00,0.0,100000,52.4,70
359970,2021-02-19,13:09:00,KAZAKHSTAN,-6.4,-10.3,1045.3,1033.0,30.9,5.6,0.05,0.9,111000,53.8,174
443050,2021-02-19,13:09:00,MONGOLIA,-12.8,-17.1,950.7,1027.2,47.1,10.5,0.01,2.2,111000,50.7,326
536730,2021-02-19,13:09:00,CHINA,-2.2,-13.7,975.2,1028.1,17.3,3.2,0.02,0.0,110000,50.1,70
474070,2021-02-19,13:09:00,JAPAN,-12.2,-16.1,1008.1,1014.7,13.9,12.2,0.09,16.5,111000,67.1,268
474060,2021-02-19,13:09:00,JAPAN,-8.3,-12.4,1010.4,1015.6,16.1,11.9,0.11,15.1,111000,51.4,92
474040,2021-02-19,13:09:00,JAPAN,-6.8,-12.1,1014.1,1017.1,34.1,19.7,0.12,0.0,110000,52.1,31
560180,2021-02-19,13:09:00,CHINA,-3.2,-15.6,627.1,635.9,24.5,16.5,0.01,0.0,110000,87.7,58
560340,2021-02-19,13:09:00,CHINA,-9.9,-19.5,600.9,593.3,21.5,17.0,0.05,0.0,110000,54.3,308
539290,2021-02-19,13:09:00,CHINA,-0.6,-11.6,882.4,888.8,10.3,15.1,0.00,0.0,100000,53.0,21
534630,2021-02-19,13:09:00,CHINA,-6.0,-15.4,930.5,1029.1,13.4,12.0,0.01,0.0,110000,53.8,172
355820,2021-02-19,13:09:00,KAZAKHSTAN,-2.8,-6.4,1026.6,1032.5,25.8,15.4,0.00,2.6,101000,51.3,94
478180,2021-02-19,13:09:00,JAPAN,-1.1,-6.8,944.9,1027.9,28.4,13.4,0.00,0.0,100000,1.2,117
511560,2021-02-19,13:09:00,CHINA,-6.3,-13.0,929.3,1031.7,23.8,5.8,0.01,0.0,110000,88.2,312
531920,2021-02-19,13:09:00,CHINA,-5.3,-9.9,918.2,1032.0,30.3,23.4,0.01,0.0,110000,51.1,185
538210,2021-02-19,13:09:00,CHINA,-5.1,-17.7,928.6,1028.1,20.8,5.9,0.00,0.0,100000,37.6,282
443470,2021-02-19,13:09:00,MONGOLIA,-8.0,-27.1,862.0,1009.9,25.9,20.7,0.00,0.0,100000,91.4,324
537720,2021-02-19,13:09:00,CHINA,-2.4,-13.6,982.8,1025.6,6.0,3.2,0.01,0.0,110000,53.6,60
475690,2021-02-19,13:09:00,JAPAN,-0.5,-6.9,1001.5,1002.3,,17.8,0.00,0.0,100000,73.2,350
546620,2021-02-19,13:09:00,CHINA,-2.6,-11.6,1020.6,1025.3,3.4,12.4,0.05,0.0,110000,71.1,90
471210,2021-02-19,13:09:00,KOREASOUTH,-3.2,-10.9,994.2,1024.2,12.6,3.1,0.06,0.0,110000,61.1,117
471200,2021-02-19,13:09:00,KOREASOUTH,-2.2,-7.5,1007.7,1010.2,8.5,8.9,0.00,0.1,101000,51.6,286
471260,2021-02-19,13:09:00,KOREASOUTH,-0.1,-9.3,999.3,957.9,8.3,15.6,0.00,0.0,100000,12.8,316
298070,2021-02-19,13:09:00,KAZAKHSTAN,-11.3,-14.2,1027.5,1027.5,1.4,4.8,0.02,4.3,111000,51.7,278
527130,2021-02-19,13:09:00,CHINA,-4.6,-21.1,699.2,699.1,27.7,13.5,0.02,0.0,110000,63.9,63
474880,2021-02-19,13:09:00,JAPAN,-4.0,-9.0,994.9,997.9,10.4,11.2,0.00,0.0,100000,98.4,333
540490,2021-02-19,13:09:00,CHINA,-5.7,-13.6,1028.8,1023.6,19.1,11.1,0.02,0.0,110000,69.6,217
471010,2021-02-19,13:09:00,KOREASOUTH,-2.2,-9.4,1019.1,1023.5,20.7,0.2,0.05,0.2,111000,76.8,86
471020,2021-02-19,13:09:00,KOREASOUTH,-0.1,-7.2,1004.7,1024.4,6.7,15.8,0.01,0.0,110000,50.9,344
471580,2021-02-19,13:09:00,KOREASOUTH,-0.5,-4.8,1010.9,1009.2,14.3,9.0,0.00,0.0,100000,65.5,199
